timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741646374238,12,14 Register Request,201,Created,User Thread Group 1-18,text,true,,287,293,52,52,http://localhost:8080/authentication/register,12,0,1
1741646374228,6,14 Register Request,201,Created,User Thread Group 1-17,text,true,,287,297,51,51,http://localhost:8080/authentication/register,6,0,1
1741646374151,76,14 Register Request,201,Created,User Thread Group 1-8,text,true,,287,296,50,50,http://localhost:8080/authentication/register,76,0,41
1741646374167,61,14 Register Request,201,Created,User Thread Group 1-13,text,true,,287,268,50,50,http://localhost:8080/authentication/register,61,0,26
1741646374151,91,14 Register Request,201,Created,User Thread Group 1-9,text,true,,287,276,51,51,http://localhost:8080/authentication/register,91,0,42
1741646374208,34,14 Register Request,201,Created,User Thread Group 1-16,text,true,,287,296,51,51,http://localhost:8080/authentication/register,34,0,2
1741646374150,79,14 Register Request,201,Created,User Thread Group 1-10,text,true,,287,269,50,50,http://localhost:8080/authentication/register,77,0,43
1741646374267,8,14 Register Request,201,Created,User Thread Group 1-20,text,true,,287,287,53,53,http://localhost:8080/authentication/register,8,0,1
1741646374178,49,14 Register Request,201,Created,User Thread Group 1-14,text,true,,287,290,50,50,http://localhost:8080/authentication/register,49,0,15
1741646374151,77,14 Register Request,201,Created,User Thread Group 1-2,text,true,,287,298,50,50,http://localhost:8080/authentication/register,77,0,42
1741646374150,79,14 Register Request,201,Created,User Thread Group 1-5,text,true,,287,278,50,50,http://localhost:8080/authentication/register,77,0,43
1741646374151,76,14 Register Request,201,Created,User Thread Group 1-3,text,true,,287,282,50,50,http://localhost:8080/authentication/register,76,0,41
1741646374254,5,14 Register Request,201,Created,User Thread Group 1-19,text,true,,287,284,52,52,http://localhost:8080/authentication/register,5,0,1
1741646374150,78,14 Register Request,201,Created,User Thread Group 1-1,text,true,,287,288,50,50,http://localhost:8080/authentication/register,77,0,42
1741646374195,40,14 Register Request,201,Created,User Thread Group 1-15,text,true,,287,297,51,51,http://localhost:8080/authentication/register,40,0,1
1741646374150,77,14 Register Request,201,Created,User Thread Group 1-11,text,true,,287,283,50,50,http://localhost:8080/authentication/register,77,0,43
1741646374152,75,14 Register Request,201,Created,User Thread Group 1-6,text,true,,287,275,50,50,http://localhost:8080/authentication/register,75,0,41
1741646374150,77,14 Register Request,201,Created,User Thread Group 1-12,text,true,,287,295,50,50,http://localhost:8080/authentication/register,77,0,42
1741646374151,76,14 Register Request,201,Created,User Thread Group 1-7,text,true,,287,274,50,50,http://localhost:8080/authentication/register,76,0,42
1741646374152,79,14 Register Request,201,Created,User Thread Group 1-4,text,true,,287,275,51,51,http://localhost:8080/authentication/register,79,0,41
1741646374284,20,14 Register Request,201,Created,User Thread Group 1-21,text,true,,287,278,55,55,http://localhost:8080/authentication/register,20,0,0
1741646374299,12,14 Register Request,201,Created,User Thread Group 1-22,text,true,,287,273,56,56,http://localhost:8080/authentication/register,12,0,1
1741646374315,7,14 Register Request,201,Created,User Thread Group 1-23,text,true,,287,286,57,57,http://localhost:8080/authentication/register,7,0,1
1741646374328,6,14 Register Request,201,Created,User Thread Group 1-24,text,true,,287,290,57,57,http://localhost:8080/authentication/register,6,0,1
1741646374343,9,14 Register Request,201,Created,User Thread Group 1-25,text,true,,287,301,59,59,http://localhost:8080/authentication/register,9,0,1
1741646374360,9,14 Register Request,201,Created,User Thread Group 1-26,text,true,,287,291,60,60,http://localhost:8080/authentication/register,8,0,1
1741646374374,7,14 Register Request,201,Created,User Thread Group 1-27,text,true,,287,286,60,60,http://localhost:8080/authentication/register,7,0,1
1741646374390,11,14 Register Request,201,Created,User Thread Group 1-28,text,true,,287,281,62,62,http://localhost:8080/authentication/register,11,0,1
1741646374403,9,14 Register Request,201,Created,User Thread Group 1-29,text,true,,287,287,63,63,http://localhost:8080/authentication/register,9,0,1
1741646374417,9,14 Register Request,201,Created,User Thread Group 1-30,text,true,,287,272,64,64,http://localhost:8080/authentication/register,8,0,1
1741646374434,12,14 Register Request,201,Created,User Thread Group 1-31,text,true,,287,293,65,65,http://localhost:8080/authentication/register,12,0,0
1741646374448,9,14 Register Request,201,Created,User Thread Group 1-32,text,true,,287,275,65,65,http://localhost:8080/authentication/register,9,0,1
1741646374464,6,14 Register Request,201,Created,User Thread Group 1-33,text,true,,287,280,66,66,http://localhost:8080/authentication/register,6,0,1
1741646374478,10,14 Register Request,201,Created,User Thread Group 1-34,text,true,,287,270,68,68,http://localhost:8080/authentication/register,10,0,2
1741646374494,11,14 Register Request,201,Created,User Thread Group 1-35,text,true,,287,280,69,69,http://localhost:8080/authentication/register,11,0,2
1741646374508,7,14 Register Request,201,Created,User Thread Group 1-36,text,true,,287,278,69,69,http://localhost:8080/authentication/register,7,0,0
