timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742162804446,17,14 Register Request,201,Created,User Thread Group 1-1,text,true,,287,298,36,36,http://localhost:8080/authentication/register,17,0,2
1742162804459,27,14 Register Request,201,Created,User Thread Group 1-2,text,true,,287,288,37,37,http://localhost:8080/authentication/register,27,0,1
1742162804474,15,14 Register Request,201,Created,User Thread Group 1-3,text,true,,287,282,37,37,http://localhost:8080/authentication/register,15,0,0
1742162804496,27,14 Register Request,201,Created,User Thread Group 1-5,text,true,,287,278,39,39,http://localhost:8080/authentication/register,27,0,1
1742162804515,32,14 Register Request,201,Created,User Thread Group 1-6,text,true,,287,275,41,41,http://localhost:8080/authentication/register,32,0,1
1742162804490,77,14 Register Request,201,Created,User Thread Group 1-4,text,true,,287,275,43,43,http://localhost:8080/authentication/register,77,0,1
1742162804535,33,14 Register Request,201,Created,User Thread Group 1-7,text,true,,287,274,43,43,http://localhost:8080/authentication/register,33,0,0
1742162804545,38,14 Register Request,201,Created,User Thread Group 1-8,text,true,,287,296,44,44,http://localhost:8080/authentication/register,38,0,0
1742162804575,14,14 Register Request,201,Created,User Thread Group 1-10,text,true,,287,269,44,44,http://localhost:8080/authentication/register,14,0,0
1742162804588,11,14 Register Request,201,Created,User Thread Group 1-11,text,true,,287,283,45,45,http://localhost:8080/authentication/register,11,0,0
1742162804561,72,14 Register Request,201,Created,User Thread Group 1-9,text,true,,287,276,47,47,http://localhost:8080/authentication/register,72,0,1
1742162804632,7,14 Register Request,201,Created,User Thread Group 1-14,text,true,,287,290,47,47,http://localhost:8080/authentication/register,7,0,0
1742162804599,44,14 Register Request,201,Created,User Thread Group 1-12,text,true,,287,295,48,48,http://localhost:8080/authentication/register,44,0,1
1742162804620,23,14 Register Request,201,Created,User Thread Group 1-13,text,true,,287,268,48,48,http://localhost:8080/authentication/register,23,0,1
1742162804648,5,14 Register Request,201,Created,User Thread Group 1-15,text,true,,287,297,48,48,http://localhost:8080/authentication/register,5,0,1
1742162804665,6,14 Register Request,201,Created,User Thread Group 1-16,text,true,,287,296,50,50,http://localhost:8080/authentication/register,6,0,1
1742162804686,4,14 Register Request,201,Created,User Thread Group 1-17,text,true,,287,297,51,51,http://localhost:8080/authentication/register,4,0,0
1742162804701,5,14 Register Request,201,Created,User Thread Group 1-18,text,true,,287,293,52,52,http://localhost:8080/authentication/register,5,0,1
1742162804711,12,14 Register Request,201,Created,User Thread Group 1-19,text,true,,287,284,53,53,http://localhost:8080/authentication/register,12,0,1
1742162804725,6,14 Register Request,201,Created,User Thread Group 1-20,text,true,,287,287,54,54,http://localhost:8080/authentication/register,6,0,1
1742162804739,5,14 Register Request,201,Created,User Thread Group 1-21,text,true,,287,278,54,54,http://localhost:8080/authentication/register,5,0,1
1742162804754,12,14 Register Request,201,Created,User Thread Group 1-22,text,true,,287,273,56,56,http://localhost:8080/authentication/register,12,0,0
1742162804769,7,14 Register Request,201,Created,User Thread Group 1-23,text,true,,287,286,57,57,http://localhost:8080/authentication/register,7,0,1
1742162804787,4,14 Register Request,201,Created,User Thread Group 1-24,text,true,,287,290,57,57,http://localhost:8080/authentication/register,4,0,1
1742162804807,5,14 Register Request,201,Created,User Thread Group 1-25,text,true,,287,301,59,59,http://localhost:8080/authentication/register,5,0,0
1742162804814,3,14 Register Request,201,Created,User Thread Group 1-26,text,true,,287,291,59,59,http://localhost:8080/authentication/register,3,0,0
1742162804832,4,14 Register Request,201,Created,User Thread Group 1-27,text,true,,287,286,61,61,http://localhost:8080/authentication/register,4,0,0
1742162804842,4,14 Register Request,201,Created,User Thread Group 1-28,text,true,,287,281,61,61,http://localhost:8080/authentication/register,4,0,0
1742162804860,4,14 Register Request,201,Created,User Thread Group 1-29,text,true,,287,287,62,62,http://localhost:8080/authentication/register,4,0,0
1742162804874,6,14 Register Request,201,Created,User Thread Group 1-30,text,true,,287,272,64,64,http://localhost:8080/authentication/register,6,0,1
1742162804886,12,14 Register Request,201,Created,User Thread Group 1-31,text,true,,287,293,64,64,http://localhost:8080/authentication/register,12,0,0
1742162804908,6,14 Register Request,201,Created,User Thread Group 1-32,text,true,,287,275,66,66,http://localhost:8080/authentication/register,6,0,0
1742162804927,4,14 Register Request,201,Created,User Thread Group 1-33,text,true,,287,280,67,67,http://localhost:8080/authentication/register,4,0,0
1742162804939,5,14 Register Request,201,Created,User Thread Group 1-34,text,true,,287,270,68,68,http://localhost:8080/authentication/register,5,0,1
1742162804951,4,14 Register Request,201,Created,User Thread Group 1-35,text,true,,287,280,68,68,http://localhost:8080/authentication/register,4,0,0
1742162804965,6,15 Login Request,200,OK,User Thread Group 1-1,text,true,,535,269,70,70,http://localhost:8080/authentication/login,6,0,0
1742162804963,10,14 Register Request,201,Created,User Thread Group 1-36,text,true,,287,278,70,70,http://localhost:8080/authentication/register,10,0,0
1742162804979,5,14 Register Request,201,Created,User Thread Group 1-37,text,true,,287,291,71,71,http://localhost:8080/authentication/register,5,0,1
1742162804991,6,15 Login Request,200,OK,User Thread Group 1-2,text,true,,535,264,71,71,http://localhost:8080/authentication/login,6,0,0
1742162804993,7,15 Login Request,200,OK,User Thread Group 1-3,text,true,,528,252,71,71,http://localhost:8080/authentication/login,7,0,0
1742162804996,5,14 Register Request,201,Created,User Thread Group 1-38,text,true,,287,280,71,71,http://localhost:8080/authentication/register,5,0,1
1742162805016,8,14 Register Request,201,Created,User Thread Group 1-39,text,true,,287,284,73,73,http://localhost:8080/authentication/register,8,0,1
1742162805026,12,14 Register Request,201,Created,User Thread Group 1-40,text,true,,287,266,74,74,http://localhost:8080/authentication/register,12,0,0
1742162805024,28,15 Login Request,200,OK,User Thread Group 1-5,text,true,,536,251,75,75,http://localhost:8080/authentication/login,28,0,0
